lon,lat
-58.416028,-34.683099
-58.413675,-34.683099
-58.411322,-34.683099
-58.408970,-34.683099
-58.406617,-34.683099
-58.404263,-34.683099
-58.401910,-34.683099
-58.399557,-34.683099
-58.397203,-34.683099
-58.394849,-34.683099
-58.392495,-34.683099
-58.390141,-34.683099
-58.387787,-34.683099
-58.385433,-34.683099
-58.383078,-34.683099
-58.380723,-34.683099
-58.378368,-34.683099
-58.376013,-34.683099
-58.373658,-34.683099
-58.371303,-34.683099
-58.368947,-34.683099
-58.366592,-34.683099
-58.364236,-34.683099
-58.361880,-34.683099
-58.359524,-34.683099
-58.357167,-34.683099
-58.354811,-34.683099
-58.352454,-34.683099
-58.538143,-34.678608
-58.535799,-34.678608
-58.533454,-34.678608
-58.531109,-34.678608
-58.528765,-34.678608
-58.526420,-34.678608
-58.524074,-34.678608
-58.521729,-34.678608
-58.519384,-34.678608
-58.517038,-34.678608
-58.514692,-34.678608
-58.512346,-34.678608
-58.510000,-34.678608
-58.507654,-34.678608
-58.505308,-34.678608
-58.502961,-34.678608
-58.500614,-34.678608
-58.498267,-34.678608
-58.495920,-34.678608
-58.493573,-34.678608
